Player,Teams,year,Mat,Runs,HS,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2008,13,165,38,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2009,16,264,50,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2010,16,307,58,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2011,16,557,71,INR 0.8 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2012,16,364,73,INR 0.8 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2013,16,634,99,INR 0.8 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2014,14,359,73,INR 1.2 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2015,16,505,82,INR 1.2 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2016,16,973,113,INR 1.2 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2017,10,308,64,INR 1.2 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2018,14,530,92,INR 1.7 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2019,14,464,100,INR 1.7 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2020,15,466,90,INR 1.7 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2021,15,405,72,INR 1.7 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2022,16,341,73,INR 1.7 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Kohli ,RCB,2023,14,639,101,INR 1.5 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,DC,2008,14,340,68,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,MI,2009,5,40,22,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2010,10,191,56,INR 0.1 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2011,14,400,95,INR1.38 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2012,15,569,84,INR 1.38 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2013,10,311,73,INR 1.38 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2014,14,377,64,INR 12.50 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2015,14,353,54,INR 12.50 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2016,17,501,82,INR 12.50 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2017,14,479,77,INR 12.50 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,SRH,2018,16,497,92,INR 5.20 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,MI,2019,16,521,97,INR 5.20 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,MI,2020,17,618,106,INR 5.20 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,MI,2021,16,587,92,INR 5.20 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,PK,2022,14,460,88,INR 8.25 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Dhawan ,PK,2023,11,373,99,INR 8.25 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,DC,2009,7,163,51,INR 1.4 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,DC,2010,11,282,107,INR 1.38 Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,DC,2011,13,324,77,INR 3.4Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Warner ,DC,2012,8,256,109,INR 3.7Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
